<music21.chord.Chord A4 B-4>|<music21.note.Rest rest>
0|0
0|0
0|0
0|0
0|0
<music21.chord.Chord A4>|0
0|0
<music21.chord.Chord A4 C5>|0
0|0
0|0
0|0
<music21.chord.Chord G2 A4 C5>|<music21.chord.Chord B1 C#4 B-4 E-5>
0|0
0|0
0|0
0|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
<music21.chord.Chord G2 F4 A4 B-4 C5>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|0
0|0
0|0
0|0
<music21.chord.Chord G2 F4 A4 B-4 C5>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|0
0|0
0|0
0|0
<music21.chord.Chord G2 F4 A4 B-4 C5>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
<music21.chord.Chord G2 F4 A4 B-4 C5>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|0
0|0
<music21.chord.Chord C3 F4 A4 B-4 C5>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
<music21.chord.Chord C3 F4 A4 B-4 C5>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
<music21.chord.Chord C3 E4 F4 A4 B-4 C5>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|0
0|0
0|0
0|0
<music21.chord.Chord C3 A4 D5>|<music21.chord.Chord B1 C4 C#4 B-4 E-5>
0|0
0|0
0|0
0|0
0|0
<music21.chord.Chord C3 A4 C5>|<music21.chord.Chord B1 C4 C#4 B-4 E-5>
0|0
<music21.chord.Chord C3 A4 B-4 C5>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|0
0|0
<music21.chord.Chord F2 B-4>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
<music21.chord.Chord F2>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|<music21.chord.Chord B1 C4 C#4 B-4 E-5>
0|0
<music21.chord.Chord F2 E4 A4>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|0
0|0
0|0
0|0
<music21.chord.Chord F2 E4 A4>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|0
0|0
0|0
0|0
<music21.chord.Chord F2 E4 A4>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
<music21.chord.Chord F2 E4 A4>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|0
0|0
